"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"11.08.2023","138,41","137,40","139,33","137,00","42,91M","-0,11%"
"10.08.2023","138,56","139,07","140,41","137,49","58,93M","0,52%"
"09.08.2023","137,85","139,97","140,32","137,10","50,02M","-1,49%"
"08.08.2023","139,94","140,62","140,84","138,42","51,71M","-1,60%"
"07.08.2023","142,22","140,99","142,54","138,95","71,21M","1,90%"
"04.08.2023","139,57","141,06","143,63","139,32","153,13M","8,27%"
"03.08.2023","128,91","127,48","129,84","126,41","91,16M","0,55%"
"02.08.2023","128,21","130,15","130,23","126,82","51,03M","-2,64%"
"01.08.2023","131,69","133,55","133,69","131,62","42,30M","-1,49%"
"31.07.2023","133,68","133,20","133,87","132,38","41,90M","1,11%"
"28.07.2023","132,21","129,69","133,01","129,33","46,32M","3,09%"
"27.07.2023","128,25","131,00","132,63","127,79","52,61M","0,08%"
"26.07.2023","128,15","126,51","129,08","126,11","53,91M","-0,76%"
"25.07.2023","129,13","129,31","129,58","128,53","39,24M","0,26%"
"24.07.2023","128,80","130,30","131,66","128,35","45,67M","-0,92%"
"21.07.2023","130,00","131,34","131,37","128,41","133,31M","0,03%"
"20.07.2023","129,96","134,07","134,79","129,33","59,82M","-3,99%"
"19.07.2023","135,36","133,39","135,99","132,53","54,53M","1,90%"
"18.07.2023","132,83","132,71","133,86","131,35","54,97M","-0,55%"
"17.07.2023","133,56","134,56","135,62","133,21","48,45M","-0,83%"
"14.07.2023","134,68","134,06","136,65","134,06","54,49M","0,28%"
"13.07.2023","134,30","134,04","134,67","132,71","61,17M","2,68%"
"12.07.2023","130,80","130,31","131,26","128,83","54,02M","1,57%"
"11.07.2023","128,78","127,75","129,77","127,35","49,95M","1,30%"
"10.07.2023","127,13","129,07","129,28","125,92","61,89M","-2,04%"
"07.07.2023","129,78","128,59","130,97","128,13","41,99M","1,11%"
"06.07.2023","128,36","128,25","128,73","127,37","40,70M","-1,55%"
"05.07.2023","130,38","130,24","131,40","129,64","35,90M","0,12%"
"03.07.2023","130,22","130,82","131,85","130,07","28,26M","-0,11%"
"30.06.2023","130,36","129,47","131,24","128,95","54,35M","1,92%"
"29.06.2023","127,90","128,77","129,26","127,25","40,76M","-0,88%"
"28.06.2023","129,04","128,94","131,48","128,44","52,15M","-0,11%"
"27.06.2023","129,18","128,63","130,09","127,55","46,80M","1,45%"
"26.06.2023","127,33","129,33","131,49","127,10","59,99M","-1,55%"
"23.06.2023","129,33","129,11","130,84","128,28","71,93M","-0,63%"
"22.06.2023","130,15","125,31","130,33","125,14","90,35M","4,26%"
"21.06.2023","124,83","125,64","126,73","123,85","52,14M","-0,76%"
"20.06.2023","125,78","124,97","127,25","124,50","56,93M","0,23%"
"16.06.2023","125,49","127,71","127,90","125,30","84,25M","-1,27%"
"15.06.2023","127,11","125,21","127,69","124,32","60,46M","0,55%"
"14.06.2023","126,42","126,70","126,95","124,12","52,42M","-0,19%"
"13.06.2023","126,66","128,12","128,41","125,18","50,56M","0,07%"
"12.06.2023","126,57","124,02","126,78","123,53","51,47M","2,54%"
"09.06.2023","123,43","124,08","125,80","123,19","51,40M","-0,66%"
"08.06.2023","124,25","123,01","125,63","122,26","62,16M","2,49%"
"07.06.2023","121,23","127,01","127,36","120,63","95,66M","-4,25%"
"06.06.2023","126,61","125,07","127,40","125,00","45,70M","1,05%"
"05.06.2023","125,30","123,36","125,80","123,03","47,95M","0,85%"
"02.06.2023","124,25","124,92","126,39","124,01","61,26M","1,21%"
"01.06.2023","122,77","120,69","123,49","119,93","54,38M","1,82%"
"31.05.2023","120,58","121,45","122,04","119,17","72,80M","-0,89%"
"30.05.2023","121,66","122,37","122,92","119,86","64,31M","1,29%"
"26.05.2023","120,11","116,04","121,50","116,02","96,78M","4,44%"
"25.05.2023","115,00","116,63","116,87","114,31","66,50M","-1,50%"
"24.05.2023","116,75","115,35","117,34","115,02","63,49M","1,53%"
"23.05.2023","114,99","114,27","117,14","113,78","67,58M","-0,02%"
"22.05.2023","115,01","116,77","116,77","114,25","70,74M","-1,07%"
"19.05.2023","116,25","118,16","118,31","115,70","55,06M","-1,61%"
"18.05.2023","118,15","116,69","118,60","116,33","73,17M","2,29%"
"17.05.2023","115,50","114,89","115,83","114,22","65,66M","1,85%"
"16.05.2023","113,40","111,05","114,79","111,05","71,47M","1,98%"
"15.05.2023","111,20","111,15","112,29","109,25","53,01M","0,85%"
"12.05.2023","110,26","112,16","112,64","109,32","49,85M","-1,71%"
"11.05.2023","112,18","111,03","113,28","110,49","74,92M","1,81%"
"10.05.2023","110,19","108,10","110,67","108,05","78,63M","3,35%"
"09.05.2023","106,62","105,48","106,79","105,16","44,09M","0,75%"
"08.05.2023","105,83","105,04","106,10","104,70","49,43M","0,17%"
"05.05.2023","105,65","104,27","105,76","103,55","56,95M","1,59%"
"04.05.2023","104,00","104,04","105,39","103,31","45,35M","0,34%"
"03.05.2023","103,65","103,74","105,96","103,28","65,05M","0,02%"
"02.05.2023","103,63","101,47","103,90","101,15","73,47M","1,55%"
"01.05.2023","102,05","104,95","105,23","101,82","74,73M","-3,22%"
"28.04.2023","105,45","107,73","109,48","104,33","130,72M","-3,98%"
"27.04.2023","109,82","108,16","110,86","106,80","149,96M","4,61%"
"26.04.2023","104,98","105,04","106,62","104,10","73,80M","2,35%"
"25.04.2023","102,57","104,91","105,45","102,45","65,03M","-3,43%"
"24.04.2023","106,21","107,65","109,23","105,07","69,58M","-0,70%"
"21.04.2023","106,96","106,10","108,15","105,08","86,77M","3,03%"
"20.04.2023","103,81","103,53","105,25","103,21","57,70M","-0,47%"
"19.04.2023","104,30","101,58","105,12","101,39","58,40M","1,96%"
"18.04.2023","102,30","103,95","104,20","101,52","39,79M","-0,43%"
"17.04.2023","102,74","103,16","103,73","101,59","39,92M","0,22%"
"14.04.2023","102,51","102,07","103,20","101,11","51,45M","0,11%"
"13.04.2023","102,40","98,95","102,57","98,71","67,93M","4,67%"
"12.04.2023","97,83","100,40","100,51","97,71","56,74M","-2,09%"
"11.04.2023","99,92","100,80","101,00","99,01","60,42M","-2,20%"
"10.04.2023","102,17","100,96","102,20","99,57","37,26M","0,11%"
"06.04.2023","102,06","100,75","102,38","99,80","43,81M","0,95%"
"05.04.2023","101,10","103,91","103,91","100,75","45,18M","-2,74%"
"04.04.2023","103,95","102,75","104,20","102,11","48,66M","1,50%"
"03.04.2023","102,41","102,30","103,29","101,43","41,14M","-0,85%"
"31.03.2023","103,29","102,16","103,49","101,95","56,75M","1,26%"
"30.03.2023","102,00","101,55","103,04","101,01","53,63M","1,75%"
"29.03.2023","100,25","98,69","100,42","98,56","49,78M","3,10%"
"28.03.2023","97,24","98,11","98,44","96,29","38,72M","-0,82%"
"27.03.2023","98,04","99,07","99,34","97,08","46,72M","-0,09%"
"24.03.2023","98,13","98,07","98,30","96,40","56,14M","-0,59%"
"23.03.2023","98,71","100,43","101,06","97,62","57,56M","0,01%"
"22.03.2023","98,70","100,45","102,10","98,61","57,48M","-1,90%"
"21.03.2023","100,61","98,14","100,85","98,00","58,60M","2,97%"
"20.03.2023","97,71","98,41","98,48","95,70","62,39M","-1,25%"
