ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2018-12-03T07:55:35Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",178670,BR,189.92.194.101,Bless the Sinners,Final Story,Carpathia,spotify:track:61tgcIXETVSaOhpg7lLVB6,,,,,,,,clickrow,trackdone,True,False,False,,False
2018-12-03T07:59:47Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",251573,BR,189.92.194.101,Carpathia,Final Story,Carpathia,spotify:track:5UQLZ66DU2BRr484zuhqyE,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T08:03:08Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",199733,BR,189.92.194.101,Ocean,Final Story,Carpathia,spotify:track:6Jck3VBpgpeBF92zSMVlDI,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T12:30:12Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",228925,BR,189.92.203.74,The Die Is Cast,Final Story,Carpathia,spotify:track:4e0BIQ0vZfCKUV5Ma5uqqq,,,,,,,,trackdone,unexpected-exit-while-paused,True,False,False,,False
2018-12-03T20:22:14Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",195697,BR,179.242.48.53,Wake Me,Relentless Flood,Escape the Fall,spotify:track:1Fgieu92hVqhDyXWsZjKr6,,,,,,,,clickrow,trackdone,True,False,False,,False
2018-12-03T20:22:54Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",257091,BR,179.242.48.53,Take It All,Relentless Flood,Escape the Fall,spotify:track:7zeVzBbRMpbXflhiQtkSmN,,,,,,,,trackdone,trackdone,True,False,True,1543868333724,False
2018-12-03T20:25:51Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",175820,BR,179.242.48.53,Breaking Out,Relentless Flood,Escape the Fall,spotify:track:2xKK1vQrNQhRIzmNuVBKYb,,,,,,,,trackdone,fwdbtn,True,False,False,,False
2018-12-03T20:26:03Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",12307,BR,179.242.48.53,Set Me Free,Relentless Flood,Escape the Fall,spotify:track:4jmM3DfZKnNmdk9E1hu9lg,,,,,,,,fwdbtn,endplay,True,False,False,,False
2018-12-03T20:26:05Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",1632,BR,179.242.48.53,Influence of a Drowsy God,Stone Sour,"House of Gold & Bones, Part 1",spotify:track:56OORedNjFtHSG30bo6QCo,,,,,,,,clickrow,endplay,True,False,False,,False
2018-12-03T20:29:16Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",189864,BR,179.242.48.53,Absolute Zero,Stone Sour,"House of Gold & Bones, Part 1",spotify:track:14EORgkbXqIx5K4Haucmnb,,,,,,,,clickrow,endplay,True,False,False,,False
2018-12-03T20:31:28Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",128640,BR,179.242.48.53,Infinito,1Kilo,"Reza Sincera, Vol. 2",spotify:track:1OCzNNC9y7Vc2xWdObXOO6,,,,,,,,clickrow,logout,True,False,False,,False
2018-12-03T20:35:33Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",244950,BR,179.242.48.53,Infinito,1Kilo,"Reza Sincera, Vol. 2",spotify:track:1OCzNNC9y7Vc2xWdObXOO6,,,,,,,,appload,trackdone,True,False,False,,False
2018-12-03T20:38:47Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",194356,BR,179.242.48.53,Chave pro Céu,1Kilo,"Reza Sincera, Vol. 2",spotify:track:3Z09nEAiGIU8X78KsONE7t,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T20:39:11Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",22544,BR,179.242.48.53,Modo Avião,1Kilo,"Reza Sincera, Vol. 2",spotify:track:7uA9trhsH5s4cdVFjMsY5n,,,,,,,,trackdone,fwdbtn,True,False,False,,False
2018-12-03T20:39:13Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",1221,BR,179.242.48.53,Selva de Concreto,1Kilo,"Reza Sincera, Vol. 2",spotify:track:2gEVtJ6PGHSjC4t5ArUT3K,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T20:39:14Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",1321,BR,179.242.48.53,Mundo do Rap,1Kilo,"Reza Sincera, Vol. 2",spotify:track:3NSqzzT7rlNd5LsxLij9iC,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T20:39:16Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",1100,BR,179.242.48.53,Não Nego,1Kilo,"Reza Sincera, Vol. 2",spotify:track:3KSqCqEPAuxEXF9se3UJ1E,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T20:41:55Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",159999,BR,179.242.48.53,Porta do Céu,1Kilo,"Reza Sincera, Vol. 2",spotify:track:5PhyfxkNTiUl7gwX2aYmNW,,,,,,,,fwdbtn,trackdone,True,False,False,,False
2018-12-03T20:44:12Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",135980,BR,179.242.48.53,Toda Luxúria É Pouca,1Kilo,"Reza Sincera, Vol. 2",spotify:track:77lWtYSbxNUwdRmVsV3urv,,,,,,,,trackdone,fwdbtn,True,False,False,,False
2018-12-03T20:44:46Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",33748,BR,179.242.48.53,Pussy Dalin,1Kilo,"Reza Sincera, Vol. 2",spotify:track:3B7kWzi7tMZFtBgDGxnWFv,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T20:44:49Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",2981,BR,179.242.48.53,Perto da Meta,1Kilo,"Reza Sincera, Vol. 2",spotify:track:4Vak22bXNypMFI4LoFiiP5,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T20:45:54Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",65136,BR,179.242.48.53,Sexy,1Kilo,"Reza Sincera, Vol. 2",spotify:track:4txOi51k5jGOdmylrTWecm,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T20:48:36Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",162244,BR,179.242.48.53,Pra Onde For,1Kilo,"Reza Sincera, Vol. 2",spotify:track:1ayZ0BZ34QEFEdbqpucQrB,,,,,,,,fwdbtn,trackdone,True,False,False,,False
2018-12-03T20:48:57Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",19257,BR,179.242.48.53,Reza Sincera,1Kilo,"Reza Sincera, Vol. 2",spotify:track:7pf9uXmwKyzMrbYTNvNXeW,,,,,,,,trackdone,fwdbtn,True,False,False,,False
2018-12-03T20:52:05Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",187883,BR,179.242.48.53,Pronto pra Noite,1Kilo,"Reza Sincera, Vol. 2",spotify:track:0gGb3OZi9YDVuSnjgKCbsS,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T20:54:53Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",168400,BR,179.242.48.53,Infinito,1Kilo,"Reza Sincera, Vol. 2",spotify:track:1OCzNNC9y7Vc2xWdObXOO6,,,,,,,,fwdbtn,endplay,True,False,False,,False
2018-12-03T20:58:32Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",220040,BR,179.242.48.53,Reincarnate,Motionless In White,Reincarnate,spotify:track:4vVUoi4U6ikqH2wIoE2fmG,,,,,,,,clickrow,trackdone,True,False,False,,False
2018-12-03T21:05:34Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",421600,BR,179.242.48.53,Wasp,Motionless In White,Reincarnate,spotify:track:5VxBq2u3SwSoSruLfndiBy,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T21:10:22Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",235226,BR,179.242.48.53,Everybody Sells Cocaine,Motionless In White,Reincarnate,spotify:track:3urvLj0cPDgdX7PnPNVeG5,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T21:10:23Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",235226,BR,179.242.48.53,Everybody Sells Cocaine,Motionless In White,Reincarnate,spotify:track:3urvLj0cPDgdX7PnPNVeG5,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T21:11:46Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",88348,BR,179.242.48.53,Dead As F**k,Motionless In White,Reincarnate,spotify:track:6horli6yhrSbLmKQdcYTtQ,,,,,,,,trackdone,fwdbtn,True,False,False,,False
2018-12-03T21:12:05Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",20322,BR,179.242.48.53,Final Dictvm,Motionless In White,Reincarnate,spotify:track:1xT99FX6HAEkyno2uTGIeR,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T21:16:33Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",268493,BR,179.242.48.53,Sinematic - Acoustic Version,Motionless In White,Reincarnate,spotify:track:6W7fqTJ17hnrmLFLZIshQX,,,,,,,,fwdbtn,trackdone,True,False,False,,False
2018-12-03T21:20:01Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",207853,BR,179.242.48.53,Unstoppable,Motionless In White,Reincarnate,spotify:track:6TeYnE4A7jTMGsIXdWYruK,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T21:24:05Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",242586,BR,179.242.48.53,Break The Cycle,Motionless In White,Reincarnate,spotify:track:7DadGqxfyT2zMPz6N8LOC7,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T21:29:07Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",255600,BR,201.53.162.23,Puppets 3 (The Grand Finale),Motionless In White,Reincarnate,spotify:track:65SUUJ6S7SkCu6Nh38HEa4,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T21:32:57Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",229466,BR,201.53.162.23,Dark Passenger,Motionless In White,Reincarnate,spotify:track:3mIzL34JeLqT1L9r5lv4yt,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T22:32:33Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",63779,BR,201.53.162.23,Contemptress,Motionless In White,Reincarnate,spotify:track:1k5hCGBt5deMiXtJmiyEsE,,,,,,,,trackdone,logout,True,False,False,,False
2018-12-03T23:22:30Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",244118,BR,189.94.163.75,Defying Gravity,The Veer Union,Decade,spotify:track:7CNmeffd7k0yDPBDHvRcKP,,,,,,,,clickrow,trackdone,True,False,False,,False
2018-12-03T23:25:49Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",198581,BR,189.94.163.75,The Underrated,The Veer Union,Decade,spotify:track:49HTitSswNsZn05xGEL8ft,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T23:29:42Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",231759,BR,189.94.163.75,You Can't Have It All,The Veer Union,Decade,spotify:track:1v2trTrf04sxW3EOUzOq9G,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T23:32:13Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",149875,BR,189.94.163.75,I Don't Care,The Veer Union,Decade,spotify:track:2FskEqe5Q1wDnbflIHinYa,,,,,,,,trackdone,endplay,True,False,False,,False
2018-12-03T23:32:17Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",3521,BR,189.94.163.75,Subversion,The Vision Ablaze,Youtopia,spotify:track:5OXbGSfhh5uRxazSJ806Ag,,,,,,,,clickrow,fwdbtn,True,False,False,,False
2018-12-03T23:32:19Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",1506,BR,189.94.163.75,Absent,The Vision Ablaze,Youtopia,spotify:track:76hdNJejafVe0FGhfWfSNS,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T23:32:20Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",954,BR,189.94.163.75,Dreaming Awake,The Vision Ablaze,Youtopia,spotify:track:7kvsjMImyFYCF1qUJnVAES,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T23:32:22Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",2078,BR,189.94.163.75,Under the Killing Moon,The Vision Ablaze,Youtopia,spotify:track:0LeIQCDD3zbkQLMJVCUpQB,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T23:40:30Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",195512,BR,189.94.163.75,Monster,The Vision Ablaze,Youtopia,spotify:track:0lNZFMXbt4kfhi8U0eX89D,,,,,,,,fwdbtn,endplay,True,False,False,,False
2018-12-03T23:40:32Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",2380,BR,189.94.163.75,We All Will,The Veer Union,Decade,spotify:track:2jxXTsHWm2w5Zdi2rlZ1Y8,,,,,,,,clickrow,fwdbtn,True,False,False,,False
2018-12-03T23:40:34Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",1028,BR,189.94.163.75,Make Believe,The Veer Union,Decade,spotify:track:33oRIXCrO8r8BXsl8TZk60,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T23:40:37Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",3096,BR,189.94.163.75,Heart Attack,The Veer Union,Decade,spotify:track:1PFraKHHne2bSn6ebEZrZa,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-03T23:45:00Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",263667,BR,189.94.163.75,I Said,The Veer Union,Decade,spotify:track:5f9ICjxUym0dp0wvElc0vA,,,,,,,,fwdbtn,trackdone,True,False,False,,False
2018-12-03T23:48:21Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",200668,BR,189.94.163.75,The Unwanted,The Veer Union,Decade,spotify:track:2LU27y69seMSGKVfYNPd0q,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T23:51:40Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",198581,BR,189.94.163.75,The Underrated,The Veer Union,Decade,spotify:track:49HTitSswNsZn05xGEL8ft,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T23:55:45Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",244118,BR,189.94.163.75,Defying Gravity,The Veer Union,Decade,spotify:track:7CNmeffd7k0yDPBDHvRcKP,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-03T23:56:53Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",67213,BR,189.94.163.75,I Don't Care,The Veer Union,Decade,spotify:track:2FskEqe5Q1wDnbflIHinYa,,,,,,,,trackdone,endplay,True,False,False,,False
2018-12-04T00:01:11Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",257369,BR,189.94.163.75,Used to Be,Relentless Flood,Escape the Fall,spotify:track:0IhW8H2ULI7Xwj1sUJGaOj,,,,,,,,clickrow,trackdone,True,False,False,,False
2018-12-04T00:08:40Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",136612,BR,201.53.162.23,Bullets,Relentless Flood,Escape the Fall,spotify:track:1IqkIliYkeDNYPf79NkFSZ,,,,,,,,trackdone,endplay,True,False,False,,False
2018-12-04T00:09:58Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",263667,BR,201.53.162.23,I Said,The Veer Union,Decade,spotify:track:5f9ICjxUym0dp0wvElc0vA,,,,,,,,clickrow,trackdone,True,False,True,1543881952095,False
2018-12-04T00:13:51Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",231759,BR,201.53.162.23,You Can't Have It All,The Veer Union,Decade,spotify:track:1v2trTrf04sxW3EOUzOq9G,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:17:58Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",245880,BR,201.53.162.23,We All Will,The Veer Union,Decade,spotify:track:2jxXTsHWm2w5Zdi2rlZ1Y8,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:21:37Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",218591,BR,201.53.162.23,Make Believe,The Veer Union,Decade,spotify:track:33oRIXCrO8r8BXsl8TZk60,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:24:56Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",198581,BR,201.53.162.23,The Underrated,The Veer Union,Decade,spotify:track:49HTitSswNsZn05xGEL8ft,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:28:40Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",223570,BR,201.53.162.23,Heart Attack,The Veer Union,Decade,spotify:track:1PFraKHHne2bSn6ebEZrZa,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:32:01Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",200668,BR,201.53.162.23,The Unwanted,The Veer Union,Decade,spotify:track:2LU27y69seMSGKVfYNPd0q,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:36:06Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",244118,BR,201.53.162.23,Defying Gravity,The Veer Union,Decade,spotify:track:7CNmeffd7k0yDPBDHvRcKP,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:39:15Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",188612,BR,201.53.162.23,I Don't Care,The Veer Union,Decade,spotify:track:2FskEqe5Q1wDnbflIHinYa,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:43:39Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",263667,BR,201.53.162.23,I Said,The Veer Union,Decade,spotify:track:5f9ICjxUym0dp0wvElc0vA,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:47:31Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",231759,BR,201.53.162.23,You Can't Have It All,The Veer Union,Decade,spotify:track:1v2trTrf04sxW3EOUzOq9G,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:51:38Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",245880,BR,201.53.162.23,We All Will,The Veer Union,Decade,spotify:track:2jxXTsHWm2w5Zdi2rlZ1Y8,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:55:17Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",218591,BR,201.53.162.23,Make Believe,The Veer Union,Decade,spotify:track:33oRIXCrO8r8BXsl8TZk60,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T00:58:36Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",198581,BR,201.53.162.23,The Underrated,The Veer Union,Decade,spotify:track:49HTitSswNsZn05xGEL8ft,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T01:02:06Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",208935,BR,201.53.162.23,Heart Attack,The Veer Union,Decade,spotify:track:1PFraKHHne2bSn6ebEZrZa,,,,,,,,trackdone,endplay,True,False,False,,False
2018-12-04T01:04:37Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",150701,BR,201.53.162.23,Tear Down the Wall,Art Of Dying,Rise Up,spotify:track:6MNtx2I1QaELzsLDaxAchs,,,,,,,,clickrow,trackdone,True,False,False,,False
2018-12-04T01:04:57Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",17879,BR,201.53.162.23,God for a Day,Art Of Dying,Let the Fire Burn,spotify:track:0I6I3ytT4tMJVYFu3G90C8,,,,,,,,trackdone,fwdbtn,True,False,False,,False
2018-12-04T01:08:36Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",218051,BR,201.53.162.23,Die Trying,Art Of Dying,Vices And Virtues,spotify:track:5DsD9rUwGiiWZxyDPkm48V,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2018-12-04T01:12:14Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",219270,BR,201.53.162.23,One Day at a Time,Art Of Dying,Rise Up,spotify:track:3V4KVGWkVdhm0i2iHsVVdk,,,,,,,,fwdbtn,trackdone,True,False,False,,False
2018-12-04T01:15:24Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",190033,BR,201.53.162.23,You Don't Know Me,Art Of Dying,Art of Dying,spotify:track:2EKjioxMQKUYoksbTssYuA,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T01:20:17Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",260613,BR,201.53.162.23,Straight Across My Mind,Art Of Dying,Vices And Virtues,spotify:track:4g3xgphQ7ja91BB5lQsK9p,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T01:23:42Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",204711,BR,201.53.162.23,Dead Man Walking,Art Of Dying,Rise Up,spotify:track:3xasVoWrpn9MrmVypBvbGe,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T01:27:00Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",197270,BR,201.53.162.23,Nevermore,Art Of Dying,Nevermore,spotify:track:7zdP0VddrAUdRiVH9h0iuH,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T01:31:54Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",292514,BR,201.53.162.23,Dog Is My Copilot,Art Of Dying,Art of Dying,spotify:track:322Hp2SNKYNeM5g92Jp3Si,,,,,,,,trackdone,fwdbtn,True,False,False,,False
2018-12-04T01:36:56Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",303066,BR,201.53.162.23,Best I Can,Art Of Dying,Vices And Virtues,spotify:track:03h0HCkZ4LLwDJtnBuRBOk,,,,,,,,fwdbtn,trackdone,True,False,False,,False
2018-12-04T01:40:48Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",230854,BR,201.53.162.23,I Will Follow,Art Of Dying,Let the Fire Burn,spotify:track:0ghbMHkPR5dMSzzHIYq6Xu,,,,,,,,trackdone,trackdone,True,False,False,,False
2018-12-04T01:43:07Z,"Android OS 8.1.0 API 27 (Xiaomi, Mi A2 Lite)",136919,BR,201.53.162.23,Say What You Need to Say,Art Of Dying,Let the Fire Burn,spotify:track:10TcsE1TcXu8NeLhIsn2W0,,,,,,,,trackdone,endplay,True,False,False,,False
