ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-12-10T21:00:57Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,150413,BR,189.60.198.60,Pedir Pra Sofrer,Vitor Fernandes,Piseiro Atualizado,spotify:track:5ohqED1RZqFv3mtB4W440K,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:03:47Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,169688,BR,189.60.198.60,Se Quer Saber - Ao Vivo,Márcia Fellipe,Retrô,spotify:track:4y4Xx3472fggyagdjTSq1k,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:06:08Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,140831,BR,189.60.198.60,Se Cuida Juízo,Leo & Junior,Se Cuida Juízo,spotify:track:4KJMh9Ca98UoMywlSdGWZS,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:11:21Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,252710,BR,189.60.198.60,Recado a minha Amada / No Compasso do Criador (feat. Salgadinho) - Ao Vivo,Turma do Pagode,Misturadin 2 (Ao Vivo),spotify:track:4bnxCPw7RPNbiaKn5e7Tam,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:12:03Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,42614,BR,189.60.198.60,Sozinho - Ao Vivo,Biu do Piseiro,Piseiro Clandestino,spotify:track:4nvJ5OLLSmewZMnposrUfO,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2020-12-10T21:14:53Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,169632,BR,189.60.198.60,Mais um Beijo,DJ Ivis,Piseiro Romântico: Seresta de Luxo,spotify:track:3jzWovPOfIDgMbXoT4ZJga,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2020-12-10T21:17:27Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,153840,BR,189.60.198.60,Os Boys Amam O Ex Chora,Jerry Smith,Os Boys Amam O Ex Chora,spotify:track:2o8MYdtYZYidgpe9oIGIcy,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:20:39Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,191775,BR,189.60.198.60,Anjo Moderno - Ao Vivo,Jorge & Mateus,Terra Sem Cep,spotify:track:0WvRK6cO0KhiHDXDl1AGok,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:23:53Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,193899,BR,189.60.198.60,A Mil por Hora - Ao Vivo,Jorge & Mateus,Terra Sem Cep,spotify:track:6bbKbaqpPRQWvCrqlAhypu,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:26:12Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,139034,BR,189.60.198.60,Você Esconde - Ao Vivo,Luan Estilizado,Só Moda Boa,spotify:track:5BFZjYLF3DxiPYWAxExJZL,,,,,,,,trackdone,trackdone,False,False,False,,False
