ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2019-05-09T21:46:31Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,239992,BR,201.53.128.34,Untraveled Road (Live),Thousand Foot Krutch,Untraveled Roads (Live),spotify:track:42dcrUoTkLfzR0e7yXOsOB,,,,,,,,clickrow,trackdone,False,False,False,,False
2019-05-09T21:49:13Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,161988,BR,201.53.128.34,The River (Live),Thousand Foot Krutch,Untraveled Roads (Live),spotify:track:3dixzs1lRgzMkgLPoooom4,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2019-05-09T21:54:13Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,299597,BR,201.53.128.34,Courtesy Call (Live),Thousand Foot Krutch,Untraveled Roads (Live),spotify:track:3uMmHJn1Ves5Pg3gJUADEb,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2019-05-09T21:57:56Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,222801,BR,201.53.128.34,The End Is Where We Begin (Live),Thousand Foot Krutch,Untraveled Roads (Live),spotify:track:4nYb7FLNkCTy1OkfFOOWoG,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T21:58:05Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,9011,BR,201.53.128.34,Born This Way (Live),Thousand Foot Krutch,Untraveled Roads (Live),spotify:track:2RD3DEP1aVXEZQUEjkGyAB,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2019-05-09T21:58:14Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,8400,BR,201.53.128.34,A Different Kind of Dynamite (Live),Thousand Foot Krutch,Untraveled Roads (Live),spotify:track:1xbSVWwVZMbXoLJfGNnkZG,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2019-05-09T22:02:57Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,282320,BR,201.53.128.34,Running With Giants (Live),Thousand Foot Krutch,Untraveled Roads (Live),spotify:track:3ZgE9Dh64H2N45r90kKUl0,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2019-05-09T22:06:18Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,199907,BR,201.53.128.34,Last Resort,Papa Roach,Infest,spotify:track:5W8YXBz9MTIDyrpYaCg2Ky,,,,,,,,clickrow,trackdone,False,False,False,,False
2019-05-09T22:09:14Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,175963,BR,201.53.128.34,Elevate,Papa Roach,Who Do You Trust?,spotify:track:79TiPV8cXmsG6ssu4nWu88,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2019-05-09T22:09:16Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,1570,BR,201.53.128.34,Last Resort - The Rework,Papa Roach,Last Resort,spotify:track:7poA10I15kvSUH6m44fQkS,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2019-05-09T22:10:21Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,65020,BR,201.53.128.34,Born For Greatness,Papa Roach,Crooked Teeth,spotify:track:5cRPdqpWkaNmIbPi6wJDg2,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2019-05-09T22:13:30Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,188920,BR,201.53.128.34,Falling Apart,Papa Roach,F.E.A.R.,spotify:track:1Ka4sX789wNftDGgjCO2h7,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2019-05-09T22:17:05Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,214797,BR,201.53.128.34,Help,Papa Roach,Crooked Teeth,spotify:track:6EaGMOSWL2LndwY6gClBaD,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T22:20:33Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,208199,BR,201.53.128.34,Scars,Papa Roach,Getting Away With Murder,spotify:track:3TAtUJc4Sj913Cs5gBUeu0,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T22:24:28Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,234467,BR,201.53.128.34,Between Angels And Insects,Papa Roach,Infest,spotify:track:24z528iI9kZu5LbkLainjI,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T22:26:17Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,108697,BR,201.53.128.34,Come Around,Papa Roach,Who Do You Trust?,spotify:track:6Mf8ozEDo35UcgKgKajrBY,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2019-05-09T22:26:19Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,1110,BR,201.53.128.34,Who Do You Trust?,Papa Roach,Who Do You Trust?,spotify:track:3YNkyMBmgxqqyVypQPweIS,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2019-05-09T22:26:22Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,2340,BR,201.53.128.34,The Ending,Papa Roach,Who Do You Trust?,spotify:track:4lFOhx1hVbzOFQY7CLrThc,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2019-05-09T22:26:23Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,180,BR,201.53.128.34,Renegade Music,Papa Roach,Who Do You Trust?,spotify:track:1qUoDThveJHYpSrPGK3oTt,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2019-05-09T22:26:28Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,2290,BR,201.53.128.34,Not The Only One,Papa Roach,Who Do You Trust?,spotify:track:6CyFFO2BnypzVWozgtvDdV,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2019-05-09T22:26:47Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,3910,BR,201.53.128.34,Who Do You Trust?,Papa Roach,Who Do You Trust?,spotify:track:3YNkyMBmgxqqyVypQPweIS,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2019-05-09T22:30:22Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,214210,BR,201.53.128.34,Hollywood Whore,Papa Roach,Metamorphosis,spotify:track:2nAUcVNxXpOTohdYdONend,,,,,,,,clickrow,trackdone,False,False,False,,False
2019-05-09T22:33:57Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,212379,BR,201.53.128.34,No Matter What,Papa Roach,Time For Annihilation: On the Record & On the Road,spotify:track:7a8F2PMGnYJXLUNJuTA1xW,,,,,,,,clickrow,trackdone,False,False,False,,False
2019-05-09T22:34:33Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,36791,BR,201.53.128.34,Lifeline,Papa Roach,Metamorphosis,spotify:track:04hf4vWXR2ObRoxz9FR4a4,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2019-05-09T22:34:37Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,2910,BR,201.53.128.34,Hollywood Whore,Papa Roach,Metamorphosis,spotify:track:2nAUcVNxXpOTohdYdONend,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2019-05-09T22:38:26Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,227847,BR,201.53.128.34,Born For Greatness,Papa Roach,Crooked Teeth,spotify:track:5cRPdqpWkaNmIbPi6wJDg2,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2019-05-09T22:41:37Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,191565,BR,201.53.128.34,Elevate,Papa Roach,Who Do You Trust?,spotify:track:79TiPV8cXmsG6ssu4nWu88,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T22:42:20Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,43248,BR,201.53.128.34,Burn,Papa Roach,Time For Annihilation: On the Record & On the Road,spotify:track:6v8BjpWJ2pgzUiHpuf11wE,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T22:47:03Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,281227,BR,201.53.128.34,Indestructible - Live at Red Rocks,Disturbed,Disturbed - Live at Red Rocks,spotify:track:1GJe2X5vm4AHAZMhriqR5r,,,,,,,,clickrow,trackdone,False,False,False,,False
2019-05-09T22:50:20Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,196853,BR,201.53.128.34,Voices - Live at Red Rocks,Disturbed,Disturbed - Live at Red Rocks,spotify:track:59MKBV9Gn67fUXGZeN6ayy,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T22:56:27Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,343161,BR,201.53.128.34,Down with the Sickness - Live at Red Rocks,Disturbed,Disturbed - Live at Red Rocks,spotify:track:0hb85ZTXwkZmJyLWfc3mmW,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T23:01:40Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,312352,BR,201.53.128.34,Eternally Yours,Motionless In White,Graveyard Shift,spotify:track:11EVeW30HHEMZZsWgWzdfN,,,,,,,,clickrow,trackdone,False,False,False,,False
2019-05-09T23:02:04Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,23828,BR,201.53.128.34,Rats,Motionless In White,Graveyard Shift,spotify:track:0mDMySNeFk7O6DDslIcfPO,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T23:02:05Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,810,BR,201.53.128.34,Rats,Motionless In White,Graveyard Shift,spotify:track:0mDMySNeFk7O6DDslIcfPO,,,,,,,,clickrow,trackdone,False,False,False,,False
2019-05-09T23:05:11Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,184783,BR,201.53.128.34,Rats,Motionless In White,Graveyard Shift,spotify:track:0mDMySNeFk7O6DDslIcfPO,,,,,,,,clickrow,trackdone,False,False,False,,False
2019-05-09T23:10:23Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,312352,BR,201.53.128.34,Eternally Yours,Motionless In White,Graveyard Shift,spotify:track:11EVeW30HHEMZZsWgWzdfN,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T23:14:41Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,257973,BR,201.53.128.34,The Ladder,Motionless In White,Graveyard Shift,spotify:track:5a5EoEfEFnq0A6lhZ1Cc4V,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T23:18:40Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,238307,BR,201.53.128.34,Untouchable,Motionless In White,Graveyard Shift,spotify:track:7D7byMFEWbDbkgOGX4EugP,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T23:19:14Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,34285,BR,201.53.128.34,LOUD (Fuck It),Motionless In White,Graveyard Shift,spotify:track:0vGDRD1JCj2NhUm7jUWxjf,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T23:22:55Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,220040,BR,201.53.128.34,Reincarnate,Motionless In White,Reincarnate,spotify:track:4vVUoi4U6ikqH2wIoE2fmG,,,,,,,,clickrow,trackdone,False,False,False,,False
2019-05-09T23:27:10Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,255600,BR,201.53.128.34,Puppets 3 (The Grand Finale),Motionless In White,Reincarnate,spotify:track:65SUUJ6S7SkCu6Nh38HEa4,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T23:30:38Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,207853,BR,201.53.128.34,Unstoppable,Motionless In White,Reincarnate,spotify:track:6TeYnE4A7jTMGsIXdWYruK,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T23:34:34Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,235227,BR,201.53.128.34,Everybody Sells Cocaine,Motionless In White,Reincarnate,spotify:track:3urvLj0cPDgdX7PnPNVeG5,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T23:38:36Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,242600,BR,201.53.128.34,Contemptress,Motionless In White,Reincarnate,spotify:track:1k5hCGBt5deMiXtJmiyEsE,,,,,,,,trackdone,trackdone,False,False,False,,False
2019-05-09T23:42:39Z,Partner windows_tv microsoft;xbox_one;1fc2d01aa9074dde950e8d3dc0eb1729;;,242587,BR,201.53.128.34,Break The Cycle,Motionless In White,Reincarnate,spotify:track:7DadGqxfyT2zMPz6N8LOC7,,,,,,,,trackdone,trackdone,False,False,False,,False
