Município;Ano
Igarapé-Açu (PA);37855
Igarapé-Miri (PA);68955
Inhangapi (PA);10754
Ipixuna do Pará (PA);30158
Irituia (PA);32698
Itaituba (PA);133684
Itupiranga (PA);52187
Jacareacanga (PA);26006
Jacundá (PA);38391
Juruti (PA);53952
Limoeiro do Ajuru (PA);31778
Mãe do Rio (PA);37048
Magalhães Barata (PA);8428
Marabá (PA);288513
Maracanã (PA);27207
Marapanim (PA);28105
Marituba (PA);118998
Medicilândia (PA);28633
Melgaço (PA);29846
Mocajuba (PA);28821
Moju (PA);90795
Mojuí dos Campos (PA);25312
Monte Alegre (PA);63641
Muaná (PA);48955
Nova Esperança do Piriá (PA);21259
Nova Ipixuna (PA);14417
Nova Timboteua (PA);13204
Novo Progresso (PA);36518
Novo Repartimento (PA);63754
Óbidos (PA);55271
Oeiras do Pará (PA);36377
Oriximiná (PA);72460
Ourém (PA);18675
Ourilândia do Norte (PA);34905
Pacajá (PA);43594
Palestina do Pará (PA);7086
Paragominas (PA);112843
Parauapebas (PA);298854
Pau D'Arco (PA);7296
Peixe-Boi (PA);8651
Piçarra (PA);13341
Placas (PA);18772
Ponta de Pedras (PA);25767
Portel (PA);66898
Porto de Moz (PA);43673
Prainha (PA);38318
Primavera (PA);11332
Quatipuru (PA);11870
Redenção (PA);91947
Rio Maria (PA);19129
Rondon do Pará (PA);56593
Rurópolis (PA);37360
Salinópolis (PA);48168
Salvaterra (PA);25441
Santa Bárbara do Pará (PA);22288
Santa Cruz do Arari (PA);7654
Santa Izabel do Pará (PA);78317
Santa Luzia do Pará (PA);21217
Santa Maria das Barreiras (PA);17079
Santa Maria do Pará (PA);25696
Santana do Araguaia (PA);31683
Santarém (PA);357311
Santarém Novo (PA);6348
Santo Antônio do Tauá (PA);29134
São Caetano de Odivelas (PA);17248
São Domingos do Araguaia (PA);21638
São Domingos do Capim (PA);32449
São Félix do Xingu (PA);65957
São Francisco do Pará (PA);15418
São Geraldo do Araguaia (PA);24978
São João da Ponta (PA);4509
São João de Pirabas (PA);21447
São João do Araguaia (PA);14246
São Miguel do Guamá (PA);55798
São Sebastião da Boa Vista (PA);27441
Sapucaia (PA);6160
Senador José Porfírio (PA);24441
Soure (PA);25218
Tailândia (PA);75526
Terra Alta (PA);10815
Terra Santa (PA);19667
Tomé-Açu (PA);72326
Tracuateua (PA);30373
Trairão (PA);15619
Tucumã (PA);42480
Tucuruí (PA);96238
Ulianópolis (PA);39576
Uruará (PA);45939
Vigia (PA);53806
Viseu (PA);61970
Vitória do Xingu (PA);16414
Xinguara (PA);56999
Serra do Navio (AP);4986
Amapá (AP);8434
Pedra Branca do Amapari (AP);13798
Calçoene (AP);11391
Cutias (AP);4725
Ferreira Gomes (AP);7145
Itaubal (AP);6043
Laranjal do Jari (AP);37969
Macapá (AP);487200
Mazagão (AP);23575
Oiapoque (AP);30481
Porto Grande (AP);18988
Pracuúba (AP);4042
Santana (AP);118353
Tartarugalzinho (AP);13785
Vitória do Jari (AP);11922
Abreulândia (TO);2668
Aguiarnópolis (TO);4537
Aliança do Tocantins (TO);5222
Almas (TO);6542
Alvorada (TO);9094
Ananás (TO);10662
Angico (TO);2918
Aparecida do Rio Negro (TO);5067
Aragominas (TO);5360
Araguacema (TO);6039
Araguaçu (TO);8273
Araguaína (TO);181493
Araguanã (TO);4338
Araguatins (TO);33205
Arapoema (TO);5553
Arraias (TO);10522
Augustinópolis (TO);18128
Aurora do Tocantins (TO);3420
Axixá do Tocantins (TO);10663
Babaçulândia (TO);7779
Bandeirantes do Tocantins (TO);3534
Barra do Ouro (TO);4641
Barrolândia (TO);4915
Bernardo Sayão (TO);4316
Bom Jesus do Tocantins (TO);4181
Brasilândia do Tocantins (TO);2016
Brejinho de Nazaré (TO);4796
Buriti do Tocantins (TO);10654
Cachoeirinha (TO);1991
Campos Lindos (TO);8951
